platform,operation,file_count,file_size,total_size_mb,elapsed_time,speed_mbps,concurrent_ops,iteration,status
Azure Blob Storage,download,100,10240,0.9765625,0.40625882148742676,2.403793956829128,25,1,success
AWS S3,upload,100,10240,0.9765625,0.6023640632629395,1.6212164031002598,25,2,success
Azure Blob Storage,upload,100,10240,0.9765625,0.6517441272735596,1.4983832751746498,25,2,success
AWS S3,download,100,10240,0.9765625,0.6529510021209717,1.4956137548266955,25,2,success
Azure Blob Storage,download,100,10240,0.9765625,0.555476188659668,1.758063657699512,25,2,success
AWS S3,upload,100,10240,0.9765625,0.5765702724456787,1.6937441048731945,25,3,success
Azure Blob Storage,upload,100,10240,0.9765625,0.6610989570617676,1.4771805182393567,25,3,success
AWS S3,download,100,10240,0.9765625,0.5660459995269775,1.7252352296740459,25,3,success
Azure Blob Storage,download,100,10240,0.9765625,0.5287601947784424,1.8468911042163316,25,3,success
AWS S3,upload,100,10240,0.9765625,0.6160850524902344,1.5851098741199854,50,1,success
Azure Blob Storage,upload,100,10240,0.9765625,20.924151182174683,0.04667154674508064,50,1,success
AWS S3,download,100,10240,0.9765625,0.6223478317260742,1.569158676574024,50,1,success
Azure Blob Storage,download,100,10240,0.9765625,0.401932954788208,2.429665167700876,50,1,success
AWS S3,upload,100,10240,0.9765625,0.5814898014068604,1.679414664947344,50,2,success
Azure Blob Storage,upload,100,10240,0.9765625,0.8435268402099609,1.1577136060743787,50,2,success
AWS S3,download,100,10240,0.9765625,0.632561206817627,1.54382293677638,50,2,success
Azure Blob Storage,download,100,10240,0.9765625,0.42956018447875977,2.2734008767246157,50,2,success
AWS S3,upload,100,10240,0.9765625,0.6229538917541504,1.5676320718538856,50,3,success
Azure Blob Storage,upload,100,10240,0.9765625,0.797515869140625,1.2245054146098802,50,3,success
AWS S3,download,100,10240,0.9765625,0.6335508823394775,1.541411317105112,50,3,success
Azure Blob Storage,download,100,10240,0.9765625,0.4448208808898926,2.1954061554986457,50,3,success
AWS S3,upload,10,102400,0.9765625,0.06168699264526367,15.830930608269497,10,1,success
Azure Blob Storage,upload,10,102400,0.9765625,0.6838288307189941,1.428080326729159,10,1,success
AWS S3,download,10,102400,0.9765625,0.07127714157104492,13.700921199633393,10,1,success
Azure Blob Storage,download,10,102400,0.9765625,0.39882707595825195,2.4485862642440646,10,1,success
AWS S3,upload,10,102400,0.9765625,0.15013384819030762,6.5046124626215045,10,2,success
Azure Blob Storage,upload,10,102400,0.9765625,0.5970468521118164,1.635654717122781,10,2,success
AWS S3,download,10,102400,0.9765625,0.07372474670410156,13.246061107805344,10,2,success
Azure Blob Storage,download,10,102400,0.9765625,0.4459090232849121,2.190048752110649,10,2,success
AWS S3,upload,10,102400,0.9765625,0.0768120288848877,12.713666260052829,10,3,success
Azure Blob Storage,upload,10,102400,0.9765625,0.641855001449585,1.521469019941422,10,3,success
AWS S3,download,10,102400,0.9765625,0.06415700912475586,15.221446780678871,10,3,success
Azure Blob Storage,download,10,102400,0.9765625,0.42176103591918945,2.315440301097686,10,3,success
AWS S3,upload,10,102400,0.9765625,0.07143306732177734,13.67101451210232,25,1,success
Azure Blob Storage,upload,10,102400,0.9765625,0.6303458213806152,1.5492487883255632,25,1,success
AWS S3,download,10,102400,0.9765625,0.06807565689086914,14.34525268798375,25,1,success
Azure Blob Storage,download,10,102400,0.9765625,0.41606712341308594,2.347127290397407,25,1,success
AWS S3,upload,10,102400,0.9765625,0.07716989517211914,12.65470813225653,25,2,success
Azure Blob Storage,upload,10,102400,0.9765625,0.6885480880737305,1.4182923704457786,25,2,success
